ENTITY,CIK,END,ASSETS_M,TOTALLIABILITIES_MILLIONS,EQUITY_MILLIONS,ASSETTOLIABILITYRATIO,DEBTTOEQUITYRATIO,QUARTER
THE BOEING COMPANY,12927,2008-12-31,"       3,549,414.00",,"         -85,404.00",,,Q4-2008
THE BOEING COMPANY,12927,2009-06-30,"       1,269,664.00",,"           3,960.00",,,Q2-2009
THE BOEING COMPANY,12927,2009-09-30,"       1,290,674.00",,"         -22,616.00",,,Q3-2009
THE BOEING COMPANY,12927,2009-12-31,"       6,825,830.00","       2,632,432.00","         234,080.00",               2.59,              11.25,Q4-2009
THE BOEING COMPANY,12927,2010-03-31,"       1,385,340.00",,"          64,724.00",,,Q1-2010
THE BOEING COMPANY,12927,2010-06-30,"       1,402,610.00","       1,332,804.00","          67,694.00",               1.05,              19.69,Q2-2010
THE BOEING COMPANY,12927,2010-09-30,"       1,434,884.00","       1,334,740.00","          97,988.00",               1.08,              13.62,Q3-2010
THE BOEING COMPANY,12927,2010-12-31,"       7,542,150.00","       4,336,398.00","         304,260.00",               1.74,              14.25,Q4-2010
THE BOEING COMPANY,12927,2011-03-31,"       1,512,720.00",,"          86,064.00",,,Q1-2011
THE BOEING COMPANY,12927,2011-06-30,"       1,586,618.00","       1,480,490.00","         104,126.00",               1.07,              14.22,Q2-2011
THE BOEING COMPANY,12927,2011-09-30,"       1,631,586.00","       1,498,244.00","         131,274.00",               1.09,              11.41,Q3-2011
THE BOEING COMPANY,12927,2011-12-31,"       8,798,460.00","       6,721,264.00","         386,650.00",               1.31,              17.38,Q4-2011
THE BOEING COMPANY,12927,2012-03-31,"       1,764,510.00","       1,651,870.00","         110,594.00",               1.07,              14.94,Q1-2012
THE BOEING COMPANY,12927,2012-06-30,"       1,795,090.00","       1,665,466.00","         127,688.00",               1.08,              13.04,Q2-2012
THE BOEING COMPANY,12927,2012-09-30,"       1,840,388.00","       1,671,384.00","         166,936.00",               1.10,              10.01,Q3-2012
THE BOEING COMPANY,12927,2012-12-31,"       9,778,560.00",,"         645,370.00",,,Q4-2012
THE BOEING COMPANY,12927,2013-03-31,"       1,989,834.00",,"         164,164.00",,,Q1-2013
THE BOEING COMPANY,12927,2013-06-30,"       2,026,002.00",,"         165,572.00",,,Q2-2013
THE BOEING COMPANY,12927,2013-09-30,"       2,081,926.00",,"         196,922.00",,,Q3-2013
THE BOEING COMPANY,12927,2013-12-31,"      10,192,930.00",,"       1,636,250.00",,,Q4-2013
THE BOEING COMPANY,12927,2014-03-31,"       2,014,650.00",,"         319,440.00",,,Q1-2014
