ENTITY,CIK,DATE,SHORTTERMDEBT,LONGTERMDEBT,DEBTSTRUCTURERATIO,QUARTER
THE BOEING COMPANY,12927,2019-12-31,,1383624.0,,Q4-2019
THE BOEING COMPANY,12927,2020-06-30,,1293336.0,,Q2-2020
THE BOEING COMPANY,12927,2020-09-30,,1294480.0,,Q3-2020
THE BOEING COMPANY,12927,2020-12-31,,6971800.0,,Q4-2020
THE BOEING COMPANY,12927,2021-03-31,,1394448.0,,Q1-2021
THE BOEING COMPANY,12927,2021-06-30,,1394294.0,,Q2-2021
THE BOEING COMPANY,12927,2021-09-30,,1369236.0,,Q3-2021
THE BOEING COMPANY,12927,2021-12-31,,6371310.0,,Q4-2021
THE BOEING COMPANY,12927,2022-03-31,,1266298.0,,Q1-2022
THE BOEING COMPANY,12927,2022-06-30,,1254198.0,,Q2-2022
THE BOEING COMPANY,12927,2022-09-30,,1254462.0,,Q3-2022
THE BOEING COMPANY,12927,2022-12-31,,4997872.0,,Q4-2022
THE BOEING COMPANY,12927,2023-03-31,,1213850.0,,Q1-2023
THE BOEING COMPANY,12927,2023-06-30,,1144814.0,,Q2-2023
THE BOEING COMPANY,12927,2023-09-30,,1144682.0,,Q3-2023
