ENTITY,CIK,DATE,NETINCOMELOSS,REVENUES,OPERATINGINCOMELOSS,PROFITMARGINPERCENT,QUARTER
THE BOEING COMPANY,12927,2007-12-31,89628.0,1460514.0,128260.0,6.14,Q4-2007
THE BOEING COMPANY,12927,2008-06-30,64130.0,1098108.0,94446.0,5.84,Q2-2008
THE BOEING COMPANY,12927,2008-09-30,75966.0,1397836.0,117480.0,5.43,Q3-2008
THE BOEING COMPANY,12927,2008-12-31,117568.0,2679996.0,173800.0,4.39,Q4-2008
THE BOEING COMPANY,12927,2009-03-31,26840.0,726088.0,45100.0,3.7,Q1-2009
THE BOEING COMPANY,12927,2009-06-30,136620.0,2613028.0,213290.0,5.23,Q2-2009
THE BOEING COMPANY,12927,2009-09-30,-101288.0,3316544.0,-124234.0,-3.05,Q3-2009
THE BOEING COMPANY,12927,2009-12-31,114488.0,4901160.0,175582.0,2.34,Q4-2009
THE BOEING COMPANY,12927,2010-03-31,45672.0,1339008.0,103312.0,3.41,Q1-2010
THE BOEING COMPANY,12927,2010-06-30,126720.0,2725140.0,224180.0,4.65,Q2-2010
THE BOEING COMPANY,12927,2010-09-30,167948.0,3594360.0,292248.0,4.67,Q3-2010
THE BOEING COMPANY,12927,2010-12-31,269478.0,4972396.0,376618.0,5.42,Q4-2010
THE BOEING COMPANY,12927,2011-03-31,51568.0,1312080.0,88000.0,3.93,Q1-2011
THE BOEING COMPANY,12927,2011-06-30,149996.0,2839716.0,246488.0,5.28,Q2-2011
THE BOEING COMPANY,12927,2011-09-30,212124.0,3723896.0,337700.0,5.7,Q3-2011
THE BOEING COMPANY,12927,2011-12-31,326480.0,5396930.0,455510.0,6.05,Q4-2011
THE BOEING COMPANY,12927,2012-03-31,81224.0,1705704.0,137940.0,4.76,Q1-2012
THE BOEING COMPANY,12927,2012-06-30,168256.0,3493512.0,272910.0,4.82,Q2-2012
THE BOEING COMPANY,12927,2012-09-30,219384.0,4374128.0,343068.0,5.02,Q3-2012
THE BOEING COMPANY,12927,2012-12-31,300432.0,6373356.0,487168.0,4.71,Q4-2012
THE BOEING COMPANY,12927,2013-03-31,97328.0,1662584.0,134464.0,5.85,Q1-2013
THE BOEING COMPANY,12927,2013-06-30,192280.0,3710872.0,293744.0,5.18,Q2-2013
THE BOEING COMPANY,12927,2013-09-30,249392.0,4712312.0,380732.0,5.29,Q3-2013
THE BOEING COMPANY,12927,2013-12-31,356862.0,6763658.0,499752.0,5.28,Q4-2013
THE BOEING COMPANY,12927,2014-03-31,84920.0,1800920.0,135696.0,4.72,Q1-2014
THE BOEING COMPANY,12927,2014-06-30,260656.0,3810400.0,303732.0,6.84,Q2-2014
THE BOEING COMPANY,12927,2014-09-30,294976.0,5009928.0,426184.0,5.89,Q3-2014
THE BOEING COMPANY,12927,2014-12-31,423940.0,7066884.0,582318.0,6.0,Q4-2014
THE BOEING COMPANY,12927,2015-03-31,117568.0,1949112.0,177672.0,6.03,Q1-2015
THE BOEING COMPANY,12927,2015-06-30,205304.0,4214232.0,310992.0,4.87,Q2-2015
THE BOEING COMPANY,12927,2015-09-30,332552.0,5466516.0,503448.0,6.08,Q3-2015
THE BOEING COMPANY,12927,2015-12-31,386760.0,7380736.0,542322.0,5.24,Q4-2015
THE BOEING COMPANY,12927,2016-03-31,107272.0,1991616.0,157344.0,5.39,Q1-2016
THE BOEING COMPANY,12927,2016-06-30,22748.0,4263468.0,23364.0,0.53,Q2-2016
THE BOEING COMPANY,12927,2016-09-30,344168.0,5239564.0,361460.0,6.57,Q3-2016
THE BOEING COMPANY,12927,2016-12-31,397892.0,7242620.0,496342.0,5.49,Q4-2016
THE BOEING COMPANY,12927,2017-03-31,133320.0,1889228.0,186120.0,7.06,Q1-2017
THE BOEING COMPANY,12927,2017-06-30,298320.0,3966754.0,427350.0,7.52,Q2-2017
THE BOEING COMPANY,12927,2017-09-30,385638.0,5155106.0,555544.0,7.48,Q3-2017
THE BOEING COMPANY,12927,2017-12-31,694430.0,7293880.0,813428.0,9.52,Q4-2017
THE BOEING COMPANY,12927,2018-03-31,217976.0,2057616.0,253000.0,10.59,Q1-2018
THE BOEING COMPANY,12927,2018-06-30,398860.0,4230864.0,484220.0,9.43,Q2-2018
THE BOEING COMPANY,12927,2018-09-30,517528.0,5415432.0,539704.0,9.56,Q3-2018
THE BOEING COMPANY,12927,2018-12-31,841016.0,7921386.0,974842.0,10.62,Q4-2018
THE BOEING COMPANY,12927,2019-03-31,189112.0,2016696.0,206800.0,9.38,Q1-2019
THE BOEING COMPANY,12927,2019-06-30,-293788.0,3087480.0,-342760.0,-9.52,Q2-2019
THE BOEING COMPANY,12927,2019-09-30,119152.0,4338752.0,120868.0,2.75,Q3-2019
THE BOEING COMPANY,12927,2019-12-31,-86416.0,5840978.0,-227326.0,-1.48,Q4-2019
THE BOEING COMPANY,12927,2020-03-31,-41448.0,1115928.0,-89298.0,-3.71,Q1-2020
THE BOEING COMPANY,12927,2020-06-30,-288992.0,2042722.0,-385572.0,-14.15,Q2-2020
THE BOEING COMPANY,12927,2020-09-30,-181566.0,2818750.0,-234058.0,-6.44,Q3-2020
THE BOEING COMPANY,12927,2020-12-31,-968858.0,4175116.0,-1019700.0,-23.21,Q4-2020
THE BOEING COMPANY,12927,2021-03-31,-23628.0,669548.0,-3652.0,-3.53,Q1-2021
THE BOEING COMPANY,12927,2021-06-30,28028.0,2165372.0,86372.0,1.29,Q2-2021
THE BOEING COMPANY,12927,2021-09-30,-7392.0,2761924.0,70312.0,-0.27,Q3-2021
THE BOEING COMPANY,12927,2021-12-31,-184888.0,2740584.0,-127688.0,-6.75,Q4-2021
THE BOEING COMPANY,12927,2022-03-31,-53636.0,615604.0,-51282.0,-8.71,Q1-2022
THE BOEING COMPANY,12927,2022-06-30,-36652.0,2083532.0,17094.0,-1.76,Q2-2022
THE BOEING COMPANY,12927,2022-09-30,-333344.0,2753696.0,-263098.0,-12.11,Q3-2022
THE BOEING COMPANY,12927,2022-12-31,-108570.0,1465376.0,-78034.0,-7.41,Q4-2022
THE BOEING COMPANY,12927,2023-03-31,-9108.0,394262.0,-3278.0,-2.31,Q1-2023
THE BOEING COMPANY,12927,2023-06-30,-15664.0,1263306.0,-7634.0,-1.24,Q2-2023
THE BOEING COMPANY,12927,2023-09-30,-84370.0,1625360.0,-41008.0,-5.19,Q3-2023
