EntityName,CIK,Metric,start,end,val,accn,fy,fp,form,filed,frame
THE BOEING COMPANY,12927,NetCashProvidedByUsedInOperatingActivities,2007-01-01,2007-12-31,9584000000,0001193125-10-024406,2009,FY,10-K,2010-02-08,CY2007
THE BOEING COMPANY,12927,NetCashProvidedByUsedInOperatingActivities,2008-01-01,2008-06-30,1682000000,0001193125-09-152905,2009,Q2,10-Q,2009-07-22,
THE BOEING COMPANY,12927,NetCashProvidedByUsedInOperatingActivities,2008-01-01,2008-09-30,1240000000,0001193125-09-210918,2009,Q3,10-Q,2009-10-21,
THE BOEING COMPANY,12927,NetCashProvidedByUsedInOperatingActivities,2008-01-01,2008-12-31,-401000000,0001193125-10-024406,2009,FY,10-K,2010-02-08,
THE BOEING COMPANY,12927,NetCashProvidedByUsedInOperatingActivities,2008-01-01,2008-12-31,-401000000,0001193125-11-028490,2010,FY,10-K,2011-02-09,CY2008
THE BOEING COMPANY,12927,NetCashProvidedByUsedInOperatingActivities,2009-01-01,2009-03-31,193000000,0001193125-10-088623,2010,Q1,10-Q,2010-04-21,CY2009Q1
THE BOEING COMPANY,12927,NetCashProvidedByUsedInOperatingActivities,2009-01-01,2009-06-30,1194000000,0001193125-09-152905,2009,Q2,10-Q,2009-07-22,
THE BOEING COMPANY,12927,NetCashProvidedByUsedInOperatingActivities,2009-01-03,2009-06-30,1194000000,0001193125-10-168724,2010,Q2,10-Q,2010-07-28,
THE BOEING COMPANY,12927,NetCashProvidedByUsedInOperatingActivities,2009-01-01,2009-09-30,2391000000,0001193125-09-210918,2009,Q3,10-Q,2009-10-21,
THE BOEING COMPANY,12927,NetCashProvidedByUsedInOperatingActivities,2009-01-01,2009-09-30,2391000000,0001193125-10-232425,2010,Q3,10-Q,2010-10-20,
THE BOEING COMPANY,12927,NetCashProvidedByUsedInOperatingActivities,2009-01-01,2009-12-31,5603000000,0001193125-10-024406,2009,FY,10-K,2010-02-08,
THE BOEING COMPANY,12927,NetCashProvidedByUsedInOperatingActivities,2009-01-01,2009-12-31,5603000000,0001193125-11-028490,2010,FY,10-K,2011-02-09,
THE BOEING COMPANY,12927,NetCashProvidedByUsedInOperatingActivities,2009-01-01,2009-12-31,5603000000,0001193125-12-048565,2011,FY,10-K,2012-02-09,CY2009
THE BOEING COMPANY,12927,NetCashProvidedByUsedInOperatingActivities,2010-01-01,2010-03-31,-285000000,0001193125-10-088623,2010,Q1,10-Q,2010-04-21,
