ENTITY,CIK,DATE,NETINCOMELOSS,REVENUES,OPERATINGINCOMELOSS,PROFITMARGINPERCENT,QUARTER
THE BOEING COMPANY,12927,2007-12-31,40740.0,663870.0,58300.0,6.14,Q4-2007
THE BOEING COMPANY,12927,2008-06-30,29150.0,499140.0,42930.0,5.84,Q2-2008
THE BOEING COMPANY,12927,2008-09-30,34530.0,635380.0,53400.0,5.43,Q3-2008
THE BOEING COMPANY,12927,2008-12-31,53440.0,1218180.0,79000.0,4.39,Q4-2008
THE BOEING COMPANY,12927,2009-03-31,12200.0,330040.0,20500.0,3.7,Q1-2009
THE BOEING COMPANY,12927,2009-06-30,62100.0,1187740.0,96950.0,5.23,Q2-2009
THE BOEING COMPANY,12927,2009-09-30,-46040.0,1507520.0,-56470.0,-3.05,Q3-2009
THE BOEING COMPANY,12927,2009-12-31,52040.0,2227800.0,79810.0,2.34,Q4-2009
THE BOEING COMPANY,12927,2010-03-31,20760.0,608640.0,46960.0,3.41,Q1-2010
THE BOEING COMPANY,12927,2010-06-30,57600.0,1238700.0,101900.0,4.65,Q2-2010
THE BOEING COMPANY,12927,2010-09-30,76340.0,1633800.0,132840.0,4.67,Q3-2010
THE BOEING COMPANY,12927,2010-12-31,122490.0,2260180.0,171190.0,5.42,Q4-2010
THE BOEING COMPANY,12927,2011-03-31,23440.0,596400.0,40000.0,3.93,Q1-2011
THE BOEING COMPANY,12927,2011-06-30,68180.0,1290780.0,112040.0,5.28,Q2-2011
THE BOEING COMPANY,12927,2011-09-30,96420.0,1692680.0,153500.0,5.7,Q3-2011
THE BOEING COMPANY,12927,2011-12-31,148400.0,2453150.0,207050.0,6.05,Q4-2011
THE BOEING COMPANY,12927,2012-03-31,36920.0,775320.0,62700.0,4.76,Q1-2012
THE BOEING COMPANY,12927,2012-06-30,76480.0,1587960.0,124050.0,4.82,Q2-2012
THE BOEING COMPANY,12927,2012-09-30,99720.0,1988240.0,155940.0,5.02,Q3-2012
THE BOEING COMPANY,12927,2012-12-31,136560.0,2896980.0,221440.0,4.71,Q4-2012
THE BOEING COMPANY,12927,2013-03-31,44240.0,755720.0,61120.0,5.85,Q1-2013
THE BOEING COMPANY,12927,2013-06-30,87400.0,1686760.0,133520.0,5.18,Q2-2013
THE BOEING COMPANY,12927,2013-09-30,113360.0,2141960.0,173060.0,5.29,Q3-2013
THE BOEING COMPANY,12927,2013-12-31,162210.0,3074390.0,227160.0,5.28,Q4-2013
THE BOEING COMPANY,12927,2014-03-31,38600.0,818600.0,61680.0,4.72,Q1-2014
THE BOEING COMPANY,12927,2014-06-30,118480.0,1732000.0,138060.0,6.84,Q2-2014
THE BOEING COMPANY,12927,2014-09-30,134080.0,2277240.0,193720.0,5.89,Q3-2014
THE BOEING COMPANY,12927,2014-12-31,192700.0,3212220.0,264690.0,6.0,Q4-2014
THE BOEING COMPANY,12927,2015-03-31,53440.0,885960.0,80760.0,6.03,Q1-2015
THE BOEING COMPANY,12927,2015-06-30,93320.0,1915560.0,141360.0,4.87,Q2-2015
THE BOEING COMPANY,12927,2015-09-30,151160.0,2484780.0,228840.0,6.08,Q3-2015
THE BOEING COMPANY,12927,2015-12-31,175800.0,3354880.0,246510.0,5.24,Q4-2015
THE BOEING COMPANY,12927,2016-03-31,48760.0,905280.0,71520.0,5.39,Q1-2016
THE BOEING COMPANY,12927,2016-06-30,10340.0,1937940.0,10620.0,0.53,Q2-2016
THE BOEING COMPANY,12927,2016-09-30,156440.0,2381620.0,164300.0,6.57,Q3-2016
