EntityName,CIK,Metric,end,val,start,year,quarter
THE BOEING COMPANY,12927,Assets,2008-12-31,53779000000.0,,2008,Q4
THE BOEING COMPANY,12927,StockholdersEquity,2008-12-31,-1294000000.0,,2008,Q4
THE BOEING COMPANY,12927,Assets,2009-06-30,57712000000.0,,2009,Q2
THE BOEING COMPANY,12927,StockholdersEquity,2009-06-30,180000000.0,,2009,Q2
THE BOEING COMPANY,12927,Assets,2009-09-30,58667000000.0,,2009,Q3
THE BOEING COMPANY,12927,StockholdersEquity,2009-09-30,-1028000000.0,,2009,Q3
THE BOEING COMPANY,12927,Assets,2009-12-31,62053000000.0,,2009,Q4
THE BOEING COMPANY,12927,Liabilities,2009-12-31,59828000000.0,,2009,Q4
THE BOEING COMPANY,12927,StockholdersEquity,2009-12-31,2128000000.0,,2009,Q4
THE BOEING COMPANY,12927,Assets,2010-03-31,62970000000.0,,2010,Q1
THE BOEING COMPANY,12927,StockholdersEquity,2010-03-31,2942000000.0,,2010,Q1
THE BOEING COMPANY,12927,Assets,2010-06-30,63755000000.0,,2010,Q2
THE BOEING COMPANY,12927,Liabilities,2010-06-30,60582000000.0,,2010,Q2
THE BOEING COMPANY,12927,StockholdersEquity,2010-06-30,3077000000.0,,2010,Q2
THE BOEING COMPANY,12927,Assets,2010-09-30,65222000000.0,,2010,Q3
THE BOEING COMPANY,12927,Liabilities,2010-09-30,60670000000.0,,2010,Q3
THE BOEING COMPANY,12927,StockholdersEquity,2010-09-30,4454000000.0,,2010,Q3
THE BOEING COMPANY,12927,Assets,2010-12-31,68565000000.0,,2010,Q4
THE BOEING COMPANY,12927,Liabilities,2010-12-31,65703000000.0,,2010,Q4
THE BOEING COMPANY,12927,StockholdersEquity,2010-12-31,2766000000.0,,2010,Q4
THE BOEING COMPANY,12927,Assets,2011-03-31,68760000000.0,,2011,Q1
THE BOEING COMPANY,12927,StockholdersEquity,2011-03-31,3912000000.0,,2011,Q1
THE BOEING COMPANY,12927,Assets,2011-06-30,72119000000.0,,2011,Q2
THE BOEING COMPANY,12927,Liabilities,2011-06-30,67295000000.0,,2011,Q2
THE BOEING COMPANY,12927,StockholdersEquity,2011-06-30,4733000000.0,,2011,Q2
THE BOEING COMPANY,12927,Assets,2011-09-30,74163000000.0,,2011,Q3
THE BOEING COMPANY,12927,Liabilities,2011-09-30,68102000000.0,,2011,Q3
THE BOEING COMPANY,12927,StockholdersEquity,2011-09-30,5967000000.0,,2011,Q3
THE BOEING COMPANY,12927,Assets,2011-12-31,79986000000.0,,2011,Q4
THE BOEING COMPANY,12927,Liabilities,2011-12-31,76378000000.0,,2011,Q4
THE BOEING COMPANY,12927,StockholdersEquity,2011-12-31,3515000000.0,,2011,Q4
THE BOEING COMPANY,12927,Assets,2012-03-31,80205000000.0,,2012,Q1
THE BOEING COMPANY,12927,Liabilities,2012-03-31,75085000000.0,,2012,Q1
THE BOEING COMPANY,12927,StockholdersEquity,2012-03-31,5027000000.0,,2012,Q1
THE BOEING COMPANY,12927,Assets,2012-06-30,81595000000.0,,2012,Q2
THE BOEING COMPANY,12927,Liabilities,2012-06-30,75703000000.0,,2012,Q2
THE BOEING COMPANY,12927,StockholdersEquity,2012-06-30,5804000000.0,,2012,Q2
THE BOEING COMPANY,12927,Assets,2012-09-30,83654000000.0,,2012,Q3
THE BOEING COMPANY,12927,Liabilities,2012-09-30,75972000000.0,,2012,Q3
