EntityName,CIK,Metric,end,val,start,year,quarter
THE BOEING COMPANY,12927,NetCashProvidedByUsedInFinancingActivities,2007-12-31,-4884000000.0,2007-01-01,2007,5
THE BOEING COMPANY,12927,NetCashProvidedByUsedInInvestingActivities,2007-12-31,-3822000000.0,2007-01-01,2007,5
THE BOEING COMPANY,12927,NetCashProvidedByUsedInOperatingActivities,2007-12-31,9584000000.0,2007-01-01,2007,5
THE BOEING COMPANY,12927,NetCashProvidedByUsedInFinancingActivities,2008-12-31,-5202000000.0,2008-01-01,2008,5
THE BOEING COMPANY,12927,NetCashProvidedByUsedInInvestingActivities,2008-12-31,1888000000.0,2008-01-01,2008,5
THE BOEING COMPANY,12927,NetCashProvidedByUsedInOperatingActivities,2008-12-31,-401000000.0,2008-01-01,2008,5
THE BOEING COMPANY,12927,NetCashProvidedByUsedInFinancingActivities,2009-12-31,4094000000.0,2009-01-01,2009,5
THE BOEING COMPANY,12927,NetCashProvidedByUsedInInvestingActivities,2009-12-31,-3794000000.0,2009-01-01,2009,5
THE BOEING COMPANY,12927,NetCashProvidedByUsedInOperatingActivities,2009-12-31,5603000000.0,2009-01-01,2009,5
THE BOEING COMPANY,12927,NetCashProvidedByUsedInFinancingActivities,2010-12-31,-1962000000.0,2010-01-01,2010,5
THE BOEING COMPANY,12927,NetCashProvidedByUsedInInvestingActivities,2010-12-31,-4831000000.0,2010-01-01,2010,5
THE BOEING COMPANY,12927,NetCashProvidedByUsedInOperatingActivities,2010-12-31,2952000000.0,2010-01-01,2010,5
THE BOEING COMPANY,12927,NetCashProvidedByUsedInFinancingActivities,2011-12-31,-1700000000.0,2011-01-01,2011,5
THE BOEING COMPANY,12927,NetCashProvidedByUsedInInvestingActivities,2011-12-31,2369000000.0,2011-01-01,2011,5
THE BOEING COMPANY,12927,NetCashProvidedByUsedInOperatingActivities,2011-12-31,4023000000.0,2011-01-01,2011,5
THE BOEING COMPANY,12927,NetCashProvidedByUsedInFinancingActivities,2012-12-31,-3477000000.0,2012-01-01,2012,5
THE BOEING COMPANY,12927,NetCashProvidedByUsedInInvestingActivities,2012-12-31,-3757000000.0,2012-01-01,2012,5
THE BOEING COMPANY,12927,NetCashProvidedByUsedInOperatingActivities,2012-12-31,7508000000.0,2012-01-01,2012,5
THE BOEING COMPANY,12927,NetCashProvidedByUsedInFinancingActivities,2013-12-31,-4249000000.0,2013-01-01,2013,5
THE BOEING COMPANY,12927,NetCashProvidedByUsedInInvestingActivities,2013-12-31,-5154000000.0,2013-01-01,2013,5
THE BOEING COMPANY,12927,NetCashProvidedByUsedInOperatingActivities,2013-12-31,8179000000.0,2013-01-01,2013,5
THE BOEING COMPANY,12927,NetCashProvidedByUsedInFinancingActivities,2014-12-31,-8593000000.0,2014-01-01,2014,5
THE BOEING COMPANY,12927,NetCashProvidedByUsedInInvestingActivities,2014-12-31,2467000000.0,2014-01-01,2014,5
THE BOEING COMPANY,12927,NetCashProvidedByUsedInOperatingActivities,2014-12-31,8858000000.0,2014-01-01,2014,5
THE BOEING COMPANY,12927,NetCashProvidedByUsedInFinancingActivities,2015-12-31,-7920000000.0,2015-01-01,2015,5
THE BOEING COMPANY,12927,NetCashProvidedByUsedInInvestingActivities,2015-12-31,-1846000000.0,2015-01-01,2015,5
THE BOEING COMPANY,12927,NetCashProvidedByUsedInOperatingActivities,2015-12-31,9363000000.0,2015-01-01,2015,5
THE BOEING COMPANY,12927,NetCashProvidedByUsedInFinancingActivities,2016-12-31,-9587000000.0,2016-01-01,2016,5
THE BOEING COMPANY,12927,NetCashProvidedByUsedInInvestingActivities,2016-12-31,-3378000000.0,2016-01-01,2016,5
