EntityName,CIK,Metric,end,val,start,year,quarter
THE BOEING COMPANY,12927,NetIncomeLoss,2007-12-31,4074000000.0,2007-01-01,2007,5
THE BOEING COMPANY,12927,Assets,2008-12-31,53779000000.0,,2008,5
THE BOEING COMPANY,12927,NetIncomeLoss,2008-12-31,2672000000.0,2008-01-01,2008,5
THE BOEING COMPANY,12927,NetIncomeLoss,2009-03-31,610000000.0,2009-01-01,2009,1
THE BOEING COMPANY,12927,NetIncomeLoss,2009-06-30,998000000.0,2009-04-01,2009,2
THE BOEING COMPANY,12927,NetIncomeLoss,2009-09-30,-1564000000.0,2009-07-01,2009,3
THE BOEING COMPANY,12927,NetIncomeLoss,2009-12-31,1268000000.0,2009-10-01,2009,4
THE BOEING COMPANY,12927,Assets,2009-12-31,62053000000.0,,2009,5
THE BOEING COMPANY,12927,NetIncomeLoss,2009-12-31,1312000000.0,2009-01-01,2009,5
THE BOEING COMPANY,12927,NetIncomeLoss,2010-03-31,519000000.0,2010-01-01,2010,1
THE BOEING COMPANY,12927,NetIncomeLoss,2010-06-30,787000000.0,2010-04-01,2010,2
THE BOEING COMPANY,12927,NetIncomeLoss,2010-09-30,837000000.0,2010-07-01,2010,3
THE BOEING COMPANY,12927,NetIncomeLoss,2010-12-31,1164000000.0,2010-10-01,2010,4
THE BOEING COMPANY,12927,Assets,2010-12-31,68565000000.0,,2010,5
THE BOEING COMPANY,12927,NetIncomeLoss,2010-12-31,3307000000.0,2010-01-01,2010,5
THE BOEING COMPANY,12927,NetIncomeLoss,2011-03-31,586000000.0,2011-01-01,2011,1
THE BOEING COMPANY,12927,NetIncomeLoss,2011-06-30,941000000.0,2011-04-01,2011,2
THE BOEING COMPANY,12927,NetIncomeLoss,2011-09-30,1098000000.0,2011-07-01,2011,3
THE BOEING COMPANY,12927,NetIncomeLoss,2011-12-31,1393000000.0,2011-10-01,2011,4
THE BOEING COMPANY,12927,Assets,2011-12-31,79986000000.0,,2011,5
THE BOEING COMPANY,12927,NetIncomeLoss,2011-12-31,4018000000.0,2011-01-01,2011,5
THE BOEING COMPANY,12927,NetIncomeLoss,2012-03-31,923000000.0,2012-01-01,2012,1
THE BOEING COMPANY,12927,NetIncomeLoss,2012-06-30,967000000.0,2012-04-01,2012,2
THE BOEING COMPANY,12927,NetIncomeLoss,2012-09-30,1032000000.0,2012-07-01,2012,3
THE BOEING COMPANY,12927,NetIncomeLoss,2012-12-31,978000000.0,2012-10-01,2012,4
THE BOEING COMPANY,12927,Assets,2012-12-31,88896000000.0,,2012,5
THE BOEING COMPANY,12927,CapitalExpendituresIncurredButNotYetPaid,2012-12-31,234000000.0,2012-01-01,2012,5
