EntityName,CIK,Metric,end,val,start,year,quarter
THE BOEING COMPANY,12927,AssetsCurrent,2008-12-31,25964000000.0,,2008,Q4
THE BOEING COMPANY,12927,LiabilitiesCurrent,2008-12-31,30773000000.0,,2008,Q4
THE BOEING COMPANY,12927,AssetsCurrent,2009-06-30,30120000000.0,,2009,Q2
THE BOEING COMPANY,12927,LiabilitiesCurrent,2009-06-30,31272000000.0,,2009,Q2
THE BOEING COMPANY,12927,AssetsCurrent,2009-09-30,30227000000.0,,2009,Q3
THE BOEING COMPANY,12927,LiabilitiesCurrent,2009-09-30,32049000000.0,,2009,Q3
THE BOEING COMPANY,12927,AssetsCurrent,2009-12-31,35275000000.0,,2009,Q4
THE BOEING COMPANY,12927,LiabilitiesCurrent,2009-12-31,32883000000.0,,2009,Q4
THE BOEING COMPANY,12927,AssetsCurrent,2010-03-31,36798000000.0,,2010,Q1
THE BOEING COMPANY,12927,LiabilitiesCurrent,2010-03-31,33484000000.0,,2010,Q1
THE BOEING COMPANY,12927,AssetsCurrent,2010-06-30,38327000000.0,,2010,Q2
THE BOEING COMPANY,12927,LiabilitiesCurrent,2010-06-30,34088000000.0,,2010,Q2
THE BOEING COMPANY,12927,AssetsCurrent,2010-09-30,39454000000.0,,2010,Q3
THE BOEING COMPANY,12927,LiabilitiesCurrent,2010-09-30,34238000000.0,,2010,Q3
THE BOEING COMPANY,12927,AssetsCurrent,2010-12-31,40572000000.0,,2010,Q4
THE BOEING COMPANY,12927,LiabilitiesCurrent,2010-12-31,35395000000.0,,2010,Q4
THE BOEING COMPANY,12927,AssetsCurrent,2011-03-31,41009000000.0,,2011,Q1
THE BOEING COMPANY,12927,LiabilitiesCurrent,2011-03-31,35257000000.0,,2011,Q1
THE BOEING COMPANY,12927,AssetsCurrent,2011-06-30,44353000000.0,,2011,Q2
THE BOEING COMPANY,12927,LiabilitiesCurrent,2011-06-30,37370000000.0,,2011,Q2
THE BOEING COMPANY,12927,AssetsCurrent,2011-09-30,46347000000.0,,2011,Q3
THE BOEING COMPANY,12927,LiabilitiesCurrent,2011-09-30,37593000000.0,,2011,Q3
THE BOEING COMPANY,12927,AssetsCurrent,2011-12-31,49810000000.0,,2011,Q4
THE BOEING COMPANY,12927,LiabilitiesCurrent,2011-12-31,41274000000.0,,2011,Q4
THE BOEING COMPANY,12927,AssetsCurrent,2012-03-31,50131000000.0,,2012,Q1
THE BOEING COMPANY,12927,LiabilitiesCurrent,2012-03-31,41305000000.0,,2012,Q1
THE BOEING COMPANY,12927,AssetsCurrent,2012-06-30,51608000000.0,,2012,Q2
THE BOEING COMPANY,12927,LiabilitiesCurrent,2012-06-30,42450000000.0,,2012,Q2
THE BOEING COMPANY,12927,AssetsCurrent,2012-09-30,53778000000.0,,2012,Q3
THE BOEING COMPANY,12927,LiabilitiesCurrent,2012-09-30,42852000000.0,,2012,Q3
THE BOEING COMPANY,12927,AssetsCurrent,2012-12-31,57309000000.0,,2012,Q4
THE BOEING COMPANY,12927,LiabilitiesCurrent,2012-12-31,44982000000.0,,2012,Q4
THE BOEING COMPANY,12927,AssetsCurrent,2013-03-31,59490000000.0,,2013,Q1
THE BOEING COMPANY,12927,LiabilitiesCurrent,2013-03-31,45666000000.0,,2013,Q1
THE BOEING COMPANY,12927,AssetsCurrent,2013-06-30,61310000000.0,,2013,Q2
THE BOEING COMPANY,12927,LiabilitiesCurrent,2013-06-30,46949000000.0,,2013,Q2
THE BOEING COMPANY,12927,AssetsCurrent,2013-09-30,64162000000.0,,2013,Q3
THE BOEING COMPANY,12927,LiabilitiesCurrent,2013-09-30,49680000000.0,,2013,Q3
THE BOEING COMPANY,12927,AssetsCurrent,2013-12-31,65074000000.0,,2013,Q4
THE BOEING COMPANY,12927,LiabilitiesCurrent,2013-12-31,51486000000.0,,2013,Q4
THE BOEING COMPANY,12927,AssetsCurrent,2014-03-31,64777000000.0,,2014,Q1
THE BOEING COMPANY,12927,LiabilitiesCurrent,2014-03-31,52502000000.0,,2014,Q1
THE BOEING COMPANY,12927,AssetsCurrent,2014-06-30,65527000000.0,,2014,Q2
THE BOEING COMPANY,12927,LiabilitiesCurrent,2014-06-30,53339000000.0,,2014,Q2
THE BOEING COMPANY,12927,AssetsCurrent,2014-09-30,65218000000.0,,2014,Q3
THE BOEING COMPANY,12927,LiabilitiesCurrent,2014-09-30,53204000000.0,,2014,Q3
