EntityName,CIK,End,Assets_Millions,Liabilities_Millions,Equity_Millions,AssetToLiabilityRatio,DebtToEquityRatio,Quarter
THE BOEING COMPANY,12927,2008-12-31,161337.0,0.0,-3882.0,,,Q4-2008
THE BOEING COMPANY,12927,2009-06-30,57712.0,0.0,180.0,,0.0,Q2-2009
THE BOEING COMPANY,12927,2009-09-30,58667.0,0.0,-1028.0,,,Q3-2009
THE BOEING COMPANY,12927,2009-12-31,310265.0,119656.0,10640.0,2.59,11.25,Q4-2009
THE BOEING COMPANY,12927,2010-03-31,62970.0,0.0,2942.0,,0.0,Q1-2010
THE BOEING COMPANY,12927,2010-06-30,63755.0,60582.0,3077.0,1.05,19.69,Q2-2010
THE BOEING COMPANY,12927,2010-09-30,65222.0,60670.0,4454.0,1.08,13.62,Q3-2010
THE BOEING COMPANY,12927,2010-12-31,342825.0,197109.0,13830.0,1.74,14.25,Q4-2010
THE BOEING COMPANY,12927,2011-03-31,68760.0,0.0,3912.0,,0.0,Q1-2011
THE BOEING COMPANY,12927,2011-06-30,72119.0,67295.0,4733.0,1.07,14.22,Q2-2011
THE BOEING COMPANY,12927,2011-09-30,74163.0,68102.0,5967.0,1.09,11.41,Q3-2011
THE BOEING COMPANY,12927,2011-12-31,399930.0,305512.0,17575.0,1.31,17.38,Q4-2011
THE BOEING COMPANY,12927,2012-03-31,80205.0,75085.0,5027.0,1.07,14.94,Q1-2012
THE BOEING COMPANY,12927,2012-06-30,81595.0,75703.0,5804.0,1.08,13.04,Q2-2012
THE BOEING COMPANY,12927,2012-09-30,83654.0,75972.0,7588.0,1.1,10.01,Q3-2012
THE BOEING COMPANY,12927,2012-12-31,444480.0,0.0,29335.0,,0.0,Q4-2012
THE BOEING COMPANY,12927,2013-03-31,90447.0,0.0,7462.0,,0.0,Q1-2013
THE BOEING COMPANY,12927,2013-06-30,92091.0,0.0,7526.0,,0.0,Q2-2013
THE BOEING COMPANY,12927,2013-09-30,94633.0,0.0,8951.0,,0.0,Q3-2013
THE BOEING COMPANY,12927,2013-12-31,463315.0,0.0,74375.0,,0.0,Q4-2013
THE BOEING COMPANY,12927,2014-03-31,91575.0,0.0,14520.0,,0.0,Q1-2014
THE BOEING COMPANY,12927,2014-06-30,92737.0,0.0,14061.0,,0.0,Q2-2014
THE BOEING COMPANY,12927,2014-09-30,92653.0,0.0,14511.0,,0.0,Q3-2014
