EntityName,CIK,End,COGS,OperatingExpenses,Revenues,OperationalEfficiencyRatio,Quarter
THE BOEING COMPANY,12927,2007-12-31,45375.0,0.0,66387.0,0.68,Q4-2007
THE BOEING COMPANY,12927,2008-06-30,34062.0,0.0,49914.0,0.68,Q2-2008
THE BOEING COMPANY,12927,2008-09-30,43047.0,0.0,63538.0,0.68,Q3-2008
THE BOEING COMPANY,12927,2008-12-31,83324.0,0.0,121818.0,0.68,Q4-2008
THE BOEING COMPANY,12927,2009-03-31,11579.0,0.0,33004.0,0.35,Q1-2009
THE BOEING COMPANY,12927,2009-06-30,69478.0,0.0,118774.0,0.58,Q2-2009
THE BOEING COMPANY,12927,2009-09-30,95410.0,0.0,150752.0,0.63,Q3-2009
THE BOEING COMPANY,12927,2009-12-31,142917.0,0.0,222780.0,0.64,Q4-2009
THE BOEING COMPANY,12927,2010-03-31,19644.0,0.0,60864.0,0.32,Q1-2010
THE BOEING COMPANY,12927,2010-06-30,60104.0,0.0,123870.0,0.49,Q2-2010
THE BOEING COMPANY,12927,2010-09-30,84802.0,0.0,163380.0,0.52,Q3-2010
THE BOEING COMPANY,12927,2010-12-31,126582.0,0.0,226018.0,0.56,Q4-2010
THE BOEING COMPANY,12927,2011-03-31,19012.0,0.0,59640.0,0.32,Q1-2011
THE BOEING COMPANY,12927,2011-06-30,62304.0,0.0,129078.0,0.48,Q2-2011
THE BOEING COMPANY,12927,2011-09-30,88682.0,0.0,169268.0,0.52,Q3-2011
THE BOEING COMPANY,12927,2011-12-31,139926.0,0.0,245315.0,0.57,Q4-2011
THE BOEING COMPANY,12927,2012-03-31,27322.0,0.0,77532.0,0.35,Q1-2012
THE BOEING COMPANY,12927,2012-06-30,86358.0,0.0,158796.0,0.54,Q2-2012
THE BOEING COMPANY,12927,2012-09-30,115572.0,0.0,198824.0,0.58,Q3-2012
THE BOEING COMPANY,12927,2012-12-31,180927.0,0.0,289698.0,0.62,Q4-2012
THE BOEING COMPANY,12927,2013-03-31,27456.0,0.0,75572.0,0.36,Q1-2013
THE BOEING COMPANY,12927,2013-06-30,93204.0,0.0,168676.0,0.55,Q2-2013
THE BOEING COMPANY,12927,2013-09-30,127790.0,0.0,214196.0,0.6,Q3-2013
THE BOEING COMPANY,12927,2013-12-31,196920.0,0.0,307439.0,0.64,Q4-2013
THE BOEING COMPANY,12927,2014-03-31,30516.0,0.0,81860.0,0.37,Q1-2014
THE BOEING COMPANY,12927,2014-06-30,97212.0,0.0,173200.0,0.56,Q2-2014
THE BOEING COMPANY,12927,2014-09-30,136228.0,0.0,227724.0,0.6,Q3-2014
THE BOEING COMPANY,12927,2014-12-31,205653.0,0.0,321222.0,0.64,Q4-2014
