ENTITY,CIK,DATE,CASHFLOW_OPERATING,CASHFLOW_INVESTING,CASHFLOW_FINANCING,QUARTER
THE BOEING COMPANY,12927,2007-12-31,210848.0,-84084.0,-107448.0,Q4-2007
THE BOEING COMPANY,12927,2008-06-30,37004.0,-8822.0,-60126.0,Q2-2008
THE BOEING COMPANY,12927,2008-09-30,27280.0,3806.0,-93346.0,Q3-2008
THE BOEING COMPANY,12927,2008-12-31,-17644.0,83072.0,-228888.0,Q4-2008
THE BOEING COMPANY,12927,2009-03-31,4246.0,-13156.0,30602.0,Q1-2009
THE BOEING COMPANY,12927,2009-06-30,52536.0,-37224.0,42240.0,Q2-2009
THE BOEING COMPANY,12927,2009-09-30,105204.0,-94556.0,111980.0,Q3-2009
THE BOEING COMPANY,12927,2009-12-31,369798.0,-250404.0,270204.0,Q4-2009
THE BOEING COMPANY,12927,2010-03-31,-12540.0,-177804.0,-15268.0,Q1-2010
THE BOEING COMPANY,12927,2010-06-30,-836.0,-171248.0,-34232.0,Q2-2010
THE BOEING COMPANY,12927,2010-09-30,80784.0,-285120.0,-72380.0,Q3-2010
THE BOEING COMPANY,12927,2010-12-31,194832.0,-318846.0,-129492.0,Q4-2010
THE BOEING COMPANY,12927,2011-03-31,-41932.0,119108.0,-64592.0,Q1-2011
THE BOEING COMPANY,12927,2011-06-30,28292.0,33352.0,-76868.0,Q2-2011
THE BOEING COMPANY,12927,2011-09-30,48048.0,37664.0,-59576.0,Q3-2011
THE BOEING COMPANY,12927,2011-12-31,265518.0,156354.0,-112200.0,Q4-2011
THE BOEING COMPANY,12927,2012-03-31,36828.0,-132132.0,-52228.0,Q1-2012
THE BOEING COMPANY,12927,2012-06-30,76780.0,-157872.0,-83468.0,Q2-2012
THE BOEING COMPANY,12927,2012-09-30,147004.0,-202092.0,-98296.0,Q3-2012
THE BOEING COMPANY,12927,2012-12-31,495528.0,-247962.0,-229482.0,Q4-2012
THE BOEING COMPANY,12927,2013-03-31,23056.0,-35816.0,-75020.0,Q1-2013
THE BOEING COMPANY,12927,2013-06-30,175604.0,-148324.0,-98120.0,Q2-2013
THE BOEING COMPANY,12927,2013-09-30,299156.0,-179608.0,-131692.0,Q3-2013
THE BOEING COMPANY,12927,2013-12-31,539814.0,-340164.0,-280434.0,Q4-2013
THE BOEING COMPANY,12927,2014-03-31,48928.0,17864.0,-161392.0,Q1-2014
THE BOEING COMPANY,12927,2014-06-30,128524.0,56364.0,-253616.0,Q2-2014
THE BOEING COMPANY,12927,2014-09-30,169840.0,45496.0,-320936.0,Q3-2014
THE BOEING COMPANY,12927,2014-12-31,584628.0,162822.0,-567138.0,Q4-2014
THE BOEING COMPANY,12927,2015-03-31,3872.0,-9416.0,-129140.0,Q1-2015
THE BOEING COMPANY,12927,2015-06-30,148940.0,-18128.0,-243760.0,Q2-2015
THE BOEING COMPANY,12927,2015-09-30,274736.0,-42460.0,-334796.0,Q3-2015
THE BOEING COMPANY,12927,2015-12-31,617958.0,-121836.0,-522720.0,Q4-2015
THE BOEING COMPANY,12927,2016-03-31,55132.0,-19272.0,-186692.0,Q1-2016
THE BOEING COMPANY,12927,2016-06-30,196460.0,-59400.0,-255596.0,Q2-2016
THE BOEING COMPANY,12927,2016-09-30,337348.0,-86416.0,-352572.0,Q3-2016
THE BOEING COMPANY,12927,2016-12-31,692868.0,-223036.0,-632742.0,Q4-2016
THE BOEING COMPANY,12927,2017-03-31,92224.0,-11484.0,-108372.0,Q1-2017
THE BOEING COMPANY,12927,2017-06-30,310002.0,-60918.0,-254056.0,Q2-2017
THE BOEING COMPANY,12927,2017-09-30,459426.0,-71214.0,-400796.0,Q3-2017
THE BOEING COMPANY,12927,2017-12-31,880792.0,-135916.0,-749100.0,Q4-2017
THE BOEING COMPANY,12927,2018-03-31,137984.0,5236.0,-125180.0,Q1-2018
THE BOEING COMPANY,12927,2018-06-30,343904.0,-56980.0,-315788.0,Q2-2018
THE BOEING COMPANY,12927,2018-09-30,544500.0,-96668.0,-478104.0,Q3-2018
THE BOEING COMPANY,12927,2018-12-31,1011252.0,-304986.0,-773652.0,Q4-2018
THE BOEING COMPANY,12927,2019-03-31,122672.0,-33748.0,-124212.0,Q1-2019
THE BOEING COMPANY,12927,2019-06-30,96712.0,-37532.0,4224.0,Q2-2019
THE BOEING COMPANY,12927,2019-09-30,-9944.0,-90068.0,190784.0,Q3-2019
THE BOEING COMPANY,12927,2019-12-31,-161436.0,-100980.0,378774.0,Q4-2019
THE BOEING COMPANY,12927,2020-03-31,-189288.0,-16676.0,452320.0,Q1-2020
THE BOEING COMPANY,12927,2020-06-30,-421608.0,-558184.0,1440648.0,Q2-2020
THE BOEING COMPANY,12927,2020-09-30,-633644.0,-740212.0,1420056.0,Q3-2020
THE BOEING COMPANY,12927,2020-12-31,-1215060.0,-1212156.0,2307030.0,Q4-2020
THE BOEING COMPANY,12927,2021-03-31,-149028.0,121616.0,-2112.0,Q1-2021
THE BOEING COMPANY,12927,2021-06-30,-170280.0,194612.0,-2948.0,Q2-2021
THE BOEING COMPANY,12927,2021-09-30,-181808.0,325116.0,-54472.0,Q3-2021
THE BOEING COMPANY,12927,2021-12-31,-150304.0,410256.0,-246400.0,Q4-2021
THE BOEING COMPANY,12927,2022-03-31,-141504.0,130460.0,-17424.0,Q1-2022
THE BOEING COMPANY,12927,2022-06-30,-137940.0,274164.0,-43912.0,Q2-2022
THE BOEING COMPANY,12927,2022-09-30,2420.0,286924.0,-44704.0,Q3-2022
THE BOEING COMPANY,12927,2022-12-31,77264.0,96140.0,-27852.0,Q4-2022
THE BOEING COMPANY,12927,2023-03-31,-6996.0,-40106.0,-36960.0,Q1-2023
THE BOEING COMPANY,12927,2023-06-30,56254.0,-106436.0,-112046.0,Q2-2023
THE BOEING COMPANY,12927,2023-09-30,56738.0,-115302.0,-112882.0,Q3-2023
