EntityName,CIK,Metric,End,Value
THE BOEING COMPANY,12927,AccountsPayable,2008-12-31,5871000000.0
THE BOEING COMPANY,12927,AccountsPayable,2009-06-30,6664000000.0
THE BOEING COMPANY,12927,AccountsPayableCurrent,2008-12-31,5871000000.0
THE BOEING COMPANY,12927,AccountsPayableCurrent,2008-12-31,5871000000.0
THE BOEING COMPANY,12927,AccountsPayableCurrent,2009-09-30,7053000000.0
THE BOEING COMPANY,12927,AccountsPayableCurrent,2009-12-31,7096000000.0
THE BOEING COMPANY,12927,AccountsPayableCurrent,2009-12-31,7096000000.0
THE BOEING COMPANY,12927,AccountsPayableCurrent,2009-12-31,7096000000.0
THE BOEING COMPANY,12927,AccountsPayableCurrent,2009-12-31,7096000000.0
THE BOEING COMPANY,12927,AccountsPayableCurrent,2009-12-31,7096000000.0
THE BOEING COMPANY,12927,AccountsPayableCurrent,2010-03-31,7469000000.0
THE BOEING COMPANY,12927,AccountsPayableCurrent,2010-06-30,6960000000.0
THE BOEING COMPANY,12927,AccountsPayableCurrent,2010-09-30,7563000000.0
THE BOEING COMPANY,12927,AccountsPayableCurrent,2010-12-31,7715000000.0
THE BOEING COMPANY,12927,AccountsPayableCurrent,2010-12-31,7715000000.0
THE BOEING COMPANY,12927,AccountsPayableCurrent,2010-12-31,7715000000.0
THE BOEING COMPANY,12927,AccountsPayableCurrent,2010-12-31,7715000000.0
THE BOEING COMPANY,12927,AccountsPayableCurrent,2010-12-31,7715000000.0
THE BOEING COMPANY,12927,AccountsPayableCurrent,2011-03-31,8304000000.0
THE BOEING COMPANY,12927,AccountsPayableCurrent,2011-06-30,8262000000.0
THE BOEING COMPANY,12927,AccountsPayableCurrent,2011-09-30,8502000000.0
THE BOEING COMPANY,12927,AccountsPayableCurrent,2011-12-31,8406000000.0
THE BOEING COMPANY,12927,AccountsPayableCurrent,2011-12-31,8406000000.0
THE BOEING COMPANY,12927,AccountsPayableCurrent,2011-12-31,8406000000.0
THE BOEING COMPANY,12927,AccountsPayableCurrent,2011-12-31,8406000000.0
THE BOEING COMPANY,12927,AccountsPayableCurrent,2011-12-31,8406000000.0
THE BOEING COMPANY,12927,AccountsPayableCurrent,2012-03-31,9041000000.0
THE BOEING COMPANY,12927,AccountsPayableCurrent,2012-06-30,9273000000.0
THE BOEING COMPANY,12927,AccountsPayableCurrent,2012-09-30,9152000000.0
THE BOEING COMPANY,12927,AccountsPayableCurrent,2012-12-31,9394000000.0
THE BOEING COMPANY,12927,AccountsPayableCurrent,2012-12-31,9394000000.0
THE BOEING COMPANY,12927,AccountsPayableCurrent,2012-12-31,9394000000.0
THE BOEING COMPANY,12927,AccountsPayableCurrent,2012-12-31,9394000000.0
THE BOEING COMPANY,12927,AccountsPayableCurrent,2012-12-31,9394000000.0
THE BOEING COMPANY,12927,AccountsPayableCurrent,2013-03-31,9876000000.0
THE BOEING COMPANY,12927,AccountsPayableCurrent,2013-06-30,10437000000.0
THE BOEING COMPANY,12927,AccountsPayableCurrent,2013-09-30,10657000000.0
THE BOEING COMPANY,12927,AccountsPayableCurrent,2013-12-31,9498000000.0
THE BOEING COMPANY,12927,AccountsPayableCurrent,2013-12-31,9498000000.0
THE BOEING COMPANY,12927,AccountsPayableCurrent,2013-12-31,9498000000.0
THE BOEING COMPANY,12927,AccountsPayableCurrent,2013-12-31,9498000000.0
THE BOEING COMPANY,12927,AccountsPayableCurrent,2013-12-31,9498000000.0
THE BOEING COMPANY,12927,AccountsPayableCurrent,2014-03-31,10779000000.0
THE BOEING COMPANY,12927,AccountsPayableCurrent,2014-06-30,11060000000.0
THE BOEING COMPANY,12927,AccountsPayableCurrent,2014-09-30,11136000000.0
THE BOEING COMPANY,12927,AccountsPayableCurrent,2014-12-31,10667000000.0
THE BOEING COMPANY,12927,AccountsPayableCurrent,2014-12-31,10667000000.0
THE BOEING COMPANY,12927,AccountsPayableCurrent,2014-12-31,10667000000.0
THE BOEING COMPANY,12927,AccountsPayableCurrent,2014-12-31,10667000000.0
THE BOEING COMPANY,12927,AccountsPayableCurrent,2014-12-31,10667000000.0
THE BOEING COMPANY,12927,AccountsPayableCurrent,2015-03-31,11497000000.0
THE BOEING COMPANY,12927,AccountsPayableCurrent,2015-06-30,11531000000.0
THE BOEING COMPANY,12927,AccountsPayableCurrent,2015-09-30,11777000000.0
THE BOEING COMPANY,12927,AccountsPayableCurrent,2015-12-31,10800000000.0
THE BOEING COMPANY,12927,AccountsPayableCurrent,2015-12-31,10800000000.0
THE BOEING COMPANY,12927,AccountsPayableCurrent,2015-12-31,10800000000.0
THE BOEING COMPANY,12927,AccountsPayableCurrent,2015-12-31,10800000000.0
THE BOEING COMPANY,12927,AccountsPayableCurrent,2015-12-31,10800000000.0
THE BOEING COMPANY,12927,AccountsPayableCurrent,2016-03-31,11558000000.0
THE BOEING COMPANY,12927,AccountsPayableCurrent,2016-06-30,11748000000.0
THE BOEING COMPANY,12927,AccountsPayableCurrent,2016-09-30,11968000000.0
THE BOEING COMPANY,12927,AccountsPayableCurrent,2016-12-31,11190000000.0
THE BOEING COMPANY,12927,AccountsPayableCurrent,2016-12-31,11190000000.0
THE BOEING COMPANY,12927,AccountsPayableCurrent,2016-12-31,11190000000.0
THE BOEING COMPANY,12927,AccountsPayableCurrent,2016-12-31,11190000000.0
THE BOEING COMPANY,12927,AccountsPayableCurrent,2016-12-31,11190000000.0
THE BOEING COMPANY,12927,AccountsPayableCurrent,2017-03-31,11964000000.0
THE BOEING COMPANY,12927,AccountsPayableCurrent,2017-06-30,12093000000.0
THE BOEING COMPANY,12927,AccountsPayableCurrent,2017-09-30,12718000000.0
THE BOEING COMPANY,12927,AccountsPayableCurrent,2017-12-31,12202000000.0
THE BOEING COMPANY,12927,AccountsPayableCurrent,2017-12-31,12202000000.0
THE BOEING COMPANY,12927,AccountsPayableCurrent,2017-12-31,12202000000.0
THE BOEING COMPANY,12927,AccountsPayableCurrent,2017-12-31,12202000000.0
THE BOEING COMPANY,12927,AccountsPayableCurrent,2017-12-31,12202000000.0
THE BOEING COMPANY,12927,AccountsPayableCurrent,2018-03-31,12613000000.0
THE BOEING COMPANY,12927,AccountsPayableCurrent,2018-06-30,12904000000.0
THE BOEING COMPANY,12927,AccountsPayableCurrent,2018-09-30,13663000000.0
THE BOEING COMPANY,12927,AccountsPayableCurrent,2018-12-31,12916000000.0
THE BOEING COMPANY,12927,AccountsPayableCurrent,2018-12-31,12916000000.0
THE BOEING COMPANY,12927,AccountsPayableCurrent,2018-12-31,12916000000.0
THE BOEING COMPANY,12927,AccountsPayableCurrent,2018-12-31,12916000000.0
THE BOEING COMPANY,12927,AccountsPayableCurrent,2018-12-31,12916000000.0
THE BOEING COMPANY,12927,AccountsPayableCurrent,2019-03-31,14693000000.0
THE BOEING COMPANY,12927,AccountsPayableCurrent,2019-06-30,15267000000.0
THE BOEING COMPANY,12927,AccountsPayableCurrent,2019-09-30,15101000000.0
THE BOEING COMPANY,12927,AccountsPayableCurrent,2019-12-31,15553000000.0
THE BOEING COMPANY,12927,AccountsPayableCurrent,2019-12-31,15553000000.0
THE BOEING COMPANY,12927,AccountsPayableCurrent,2019-12-31,15553000000.0
THE BOEING COMPANY,12927,AccountsPayableCurrent,2019-12-31,15553000000.0
THE BOEING COMPANY,12927,AccountsPayableCurrent,2019-12-31,15553000000.0
THE BOEING COMPANY,12927,AccountsPayableCurrent,2020-03-31,14963000000.0
THE BOEING COMPANY,12927,AccountsPayableCurrent,2020-06-30,13700000000.0
THE BOEING COMPANY,12927,AccountsPayableCurrent,2020-09-30,14479000000.0
THE BOEING COMPANY,12927,AccountsPayableCurrent,2020-12-31,12928000000.0
THE BOEING COMPANY,12927,AccountsPayableCurrent,2020-12-31,12928000000.0
THE BOEING COMPANY,12927,AccountsPayableCurrent,2020-12-31,12928000000.0
THE BOEING COMPANY,12927,AccountsPayableCurrent,2020-12-31,12928000000.0
THE BOEING COMPANY,12927,AccountsPayableCurrent,2020-12-31,12928000000.0
THE BOEING COMPANY,12927,AccountsPayableCurrent,2021-03-31,12410000000.0
THE BOEING COMPANY,12927,AccountsPayableCurrent,2021-06-30,11450000000.0
THE BOEING COMPANY,12927,AccountsPayableCurrent,2021-09-30,10151000000.0
THE BOEING COMPANY,12927,AccountsPayableCurrent,2021-12-31,9261000000.0
THE BOEING COMPANY,12927,AccountsPayableCurrent,2021-12-31,9261000000.0
THE BOEING COMPANY,12927,AccountsPayableCurrent,2021-12-31,9261000000.0
THE BOEING COMPANY,12927,AccountsPayableCurrent,2021-12-31,9261000000.0
THE BOEING COMPANY,12927,AccountsPayableCurrent,2021-12-31,9261000000.0
THE BOEING COMPANY,12927,AccountsPayableCurrent,2022-03-31,8779000000.0
THE BOEING COMPANY,12927,AccountsPayableCurrent,2022-06-30,9575000000.0
THE BOEING COMPANY,12927,AccountsPayableCurrent,2022-09-30,9793000000.0
THE BOEING COMPANY,12927,AccountsPayableCurrent,2022-12-31,10200000000.0
