ENTITY,CIK,DATE,CURRENTASSETS,CURRENTLIABILITIES,CURRENTRATIO,QUARTER
THE BOEING COMPANY,12927,2008-12-31,1713624.0,2031018.0,0.84,Q4-2008
THE BOEING COMPANY,12927,2009-06-30,662640.0,687984.0,0.96,Q2-2009
THE BOEING COMPANY,12927,2009-09-30,664994.0,705078.0,0.94,Q3-2009
THE BOEING COMPANY,12927,2009-12-31,3880250.0,3617130.0,1.07,Q4-2009
THE BOEING COMPANY,12927,2010-03-31,809556.0,736648.0,1.1,Q1-2010
THE BOEING COMPANY,12927,2010-06-30,843194.0,749936.0,1.12,Q2-2010
THE BOEING COMPANY,12927,2010-09-30,867988.0,753236.0,1.15,Q3-2010
THE BOEING COMPANY,12927,2010-12-31,4462920.0,3893450.0,1.15,Q4-2010
THE BOEING COMPANY,12927,2011-03-31,902198.0,775654.0,1.16,Q1-2011
THE BOEING COMPANY,12927,2011-06-30,975766.0,822140.0,1.19,Q2-2011
THE BOEING COMPANY,12927,2011-09-30,1019634.0,827046.0,1.23,Q3-2011
THE BOEING COMPANY,12927,2011-12-31,5479100.0,4540140.0,1.21,Q4-2011
THE BOEING COMPANY,12927,2012-03-31,1102882.0,908710.0,1.21,Q1-2012
THE BOEING COMPANY,12927,2012-06-30,1135376.0,933900.0,1.22,Q2-2012
THE BOEING COMPANY,12927,2012-09-30,1183116.0,942744.0,1.25,Q3-2012
THE BOEING COMPANY,12927,2012-12-31,6303990.0,4948020.0,1.27,Q4-2012
THE BOEING COMPANY,12927,2013-03-31,1308780.0,1004652.0,1.3,Q1-2013
THE BOEING COMPANY,12927,2013-06-30,1348820.0,1032878.0,1.31,Q2-2013
THE BOEING COMPANY,12927,2013-09-30,1411564.0,1092960.0,1.29,Q3-2013
THE BOEING COMPANY,12927,2013-12-31,7158140.0,5663460.0,1.26,Q4-2013
THE BOEING COMPANY,12927,2014-03-31,1425094.0,1155044.0,1.23,Q1-2014
THE BOEING COMPANY,12927,2014-06-30,1441594.0,1173458.0,1.23,Q2-2014
THE BOEING COMPANY,12927,2014-09-30,1434796.0,1170488.0,1.23,Q3-2014
THE BOEING COMPANY,12927,2014-12-31,7455954.0,6052222.0,1.23,Q4-2014
THE BOEING COMPANY,12927,2015-03-31,1461262.0,1215632.0,1.2,Q1-2015
THE BOEING COMPANY,12927,2015-06-30,1469732.0,1256992.0,1.17,Q2-2015
THE BOEING COMPANY,12927,2015-09-30,1486672.0,1271776.0,1.17,Q3-2015
THE BOEING COMPANY,12927,2015-12-31,7505740.0,5545320.0,1.35,Q4-2015
THE BOEING COMPANY,12927,2016-03-31,1442914.0,1089374.0,1.32,Q1-2016
THE BOEING COMPANY,12927,2016-06-30,1397154.0,1096898.0,1.27,Q2-2016
THE BOEING COMPANY,12927,2016-09-30,1369214.0,1066758.0,1.28,Q3-2016
THE BOEING COMPANY,12927,2016-12-31,6873680.0,5514740.0,1.25,Q4-2016
THE BOEING COMPANY,12927,2017-03-31,1372074.0,1095182.0,1.25,Q1-2017
THE BOEING COMPANY,12927,2017-06-30,1382282.0,1163998.0,1.19,Q2-2017
THE BOEING COMPANY,12927,2017-09-30,1411124.0,1196998.0,1.18,Q3-2017
THE BOEING COMPANY,12927,2017-12-31,8930614.0,7806942.0,1.14,Q4-2017
THE BOEING COMPANY,12927,2018-03-31,1903946.0,1661704.0,1.15,Q1-2018
THE BOEING COMPANY,12927,2018-06-30,1900822.0,1709950.0,1.11,Q2-2018
THE BOEING COMPANY,12927,2018-09-30,1929092.0,1747174.0,1.1,Q3-2018
THE BOEING COMPANY,12927,2018-12-31,9661300.0,8974900.0,1.08,Q4-2018
THE BOEING COMPANY,12927,2019-03-31,1969198.0,1839530.0,1.07,Q1-2019
THE BOEING COMPANY,12927,2019-06-30,2092442.0,2028158.0,1.03,Q2-2019
THE BOEING COMPANY,12927,2019-09-30,2236432.0,2020612.0,1.11,Q3-2019
THE BOEING COMPANY,12927,2019-12-31,11245190.0,10704320.0,1.05,Q4-2019
THE BOEING COMPANY,12927,2020-03-31,2442242.0,2079044.0,1.17,Q1-2020
THE BOEING COMPANY,12927,2020-06-30,2866094.0,2034604.0,1.41,Q2-2020
THE BOEING COMPANY,12927,2020-09-30,2882264.0,2030754.0,1.42,Q3-2020
THE BOEING COMPANY,12927,2020-12-31,13380620.0,9600800.0,1.39,Q4-2020
THE BOEING COMPANY,12927,2021-03-31,2638790.0,1977624.0,1.33,Q1-2021
THE BOEING COMPANY,12927,2021-06-30,2620090.0,1940928.0,1.35,Q2-2021
THE BOEING COMPANY,12927,2021-09-30,2571536.0,1886962.0,1.36,Q3-2021
THE BOEING COMPANY,12927,2021-12-31,11953260.0,9019120.0,1.33,Q4-2021
THE BOEING COMPANY,12927,2022-03-31,2332264.0,1797224.0,1.3,Q1-2022
THE BOEING COMPANY,12927,2022-06-30,2332000.0,1865578.0,1.25,Q2-2022
THE BOEING COMPANY,12927,2022-09-30,2403522.0,1971596.0,1.22,Q3-2022
THE BOEING COMPANY,12927,2022-12-31,9638024.0,7924576.0,1.22,Q4-2022
THE BOEING COMPANY,12927,2023-03-31,2393842.0,2057220.0,1.16,Q1-2023
THE BOEING COMPANY,12927,2023-06-30,2363064.0,2025672.0,1.17,Q2-2023
THE BOEING COMPANY,12927,2023-09-30,2352570.0,2047364.0,1.15,Q3-2023
