ENTITY,CIK,DATE,COGS,OPERATINGEXPENSES,REVENUES,OPERATIONALEFFICIENCYRATIO,QUARTER
THE BOEING COMPANY,12927,2007-12-31,998250.0,,1460514.0,,Q4-2007
THE BOEING COMPANY,12927,2008-06-30,749364.0,,1098108.0,,Q2-2008
THE BOEING COMPANY,12927,2008-09-30,947034.0,,1397836.0,,Q3-2008
THE BOEING COMPANY,12927,2008-12-31,1833128.0,,2679996.0,,Q4-2008
THE BOEING COMPANY,12927,2009-03-31,254738.0,,726088.0,,Q1-2009
THE BOEING COMPANY,12927,2009-06-30,1528516.0,,2613028.0,,Q2-2009
THE BOEING COMPANY,12927,2009-09-30,2099020.0,,3316544.0,,Q3-2009
THE BOEING COMPANY,12927,2009-12-31,3144174.0,,4901160.0,,Q4-2009
THE BOEING COMPANY,12927,2010-03-31,432168.0,,1339008.0,,Q1-2010
THE BOEING COMPANY,12927,2010-06-30,1322288.0,,2725140.0,,Q2-2010
THE BOEING COMPANY,12927,2010-09-30,1865644.0,,3594360.0,,Q3-2010
THE BOEING COMPANY,12927,2010-12-31,2784804.0,,4972396.0,,Q4-2010
THE BOEING COMPANY,12927,2011-03-31,418264.0,,1312080.0,,Q1-2011
THE BOEING COMPANY,12927,2011-06-30,1370688.0,,2839716.0,,Q2-2011
THE BOEING COMPANY,12927,2011-09-30,1951004.0,,3723896.0,,Q3-2011
THE BOEING COMPANY,12927,2011-12-31,3078372.0,,5396930.0,,Q4-2011
THE BOEING COMPANY,12927,2012-03-31,601084.0,,1705704.0,,Q1-2012
THE BOEING COMPANY,12927,2012-06-30,1899876.0,,3493512.0,,Q2-2012
THE BOEING COMPANY,12927,2012-09-30,2542584.0,,4374128.0,,Q3-2012
THE BOEING COMPANY,12927,2012-12-31,3980394.0,,6373356.0,,Q4-2012
THE BOEING COMPANY,12927,2013-03-31,604032.0,,1662584.0,,Q1-2013
THE BOEING COMPANY,12927,2013-06-30,2050488.0,,3710872.0,,Q2-2013
THE BOEING COMPANY,12927,2013-09-30,2811380.0,,4712312.0,,Q3-2013
THE BOEING COMPANY,12927,2013-12-31,4332240.0,,6763658.0,,Q4-2013
THE BOEING COMPANY,12927,2014-03-31,671352.0,,1800920.0,,Q1-2014
THE BOEING COMPANY,12927,2014-06-30,2138664.0,,3810400.0,,Q2-2014
THE BOEING COMPANY,12927,2014-09-30,2997016.0,,5009928.0,,Q3-2014
THE BOEING COMPANY,12927,2014-12-31,4524366.0,,7066884.0,,Q4-2014
THE BOEING COMPANY,12927,2015-03-31,720720.0,,1949112.0,,Q1-2015
THE BOEING COMPANY,12927,2015-06-30,2414456.0,,4214232.0,,Q2-2015
THE BOEING COMPANY,12927,2015-09-30,3274172.0,,5466516.0,,Q3-2015
THE BOEING COMPANY,12927,2015-12-31,4847436.0,,7380736.0,,Q4-2015
THE BOEING COMPANY,12927,2016-03-31,745580.0,,1991616.0,,Q1-2016
THE BOEING COMPANY,12927,2016-06-30,2528900.0,,4263468.0,,Q2-2016
THE BOEING COMPANY,12927,2016-09-30,3213056.0,,5239564.0,,Q3-2016
THE BOEING COMPANY,12927,2016-12-31,3199372.0,,7242620.0,,Q4-2016
THE BOEING COMPANY,12927,2017-03-31,691350.0,,1889228.0,,Q1-2017
THE BOEING COMPANY,12927,2017-06-30,2155098.0,,3966754.0,,Q2-2017
THE BOEING COMPANY,12927,2017-09-30,1493932.0,,5155106.0,,Q3-2017
THE BOEING COMPANY,12927,2017-12-31,1504030.0,,7293880.0,,Q4-2017
THE BOEING COMPANY,12927,2018-03-31,369952.0,,2057616.0,,Q1-2018
THE BOEING COMPANY,12927,2018-06-30,1137136.0,,4230864.0,,Q2-2018
THE BOEING COMPANY,12927,2018-09-30,,,5415432.0,,Q3-2018
THE BOEING COMPANY,12927,2018-12-31,,,7921386.0,,Q4-2018
THE BOEING COMPANY,12927,2019-03-31,,,2016696.0,,Q1-2019
THE BOEING COMPANY,12927,2019-06-30,,,3087480.0,,Q2-2019
THE BOEING COMPANY,12927,2019-09-30,,,4338752.0,,Q3-2019
THE BOEING COMPANY,12927,2019-12-31,,,5840978.0,,Q4-2019
THE BOEING COMPANY,12927,2020-03-31,,,1115928.0,,Q1-2020
THE BOEING COMPANY,12927,2020-06-30,,,2042722.0,,Q2-2020
THE BOEING COMPANY,12927,2020-09-30,,,2818750.0,,Q3-2020
THE BOEING COMPANY,12927,2020-12-31,,,4175116.0,,Q4-2020
THE BOEING COMPANY,12927,2021-03-31,,,669548.0,,Q1-2021
THE BOEING COMPANY,12927,2021-06-30,,,2165372.0,,Q2-2021
THE BOEING COMPANY,12927,2021-09-30,,,2761924.0,,Q3-2021
THE BOEING COMPANY,12927,2021-12-31,,,2740584.0,,Q4-2021
THE BOEING COMPANY,12927,2022-03-31,,,615604.0,,Q1-2022
THE BOEING COMPANY,12927,2022-06-30,,,2083532.0,,Q2-2022
THE BOEING COMPANY,12927,2022-09-30,,,2753696.0,,Q3-2022
THE BOEING COMPANY,12927,2022-12-31,,,1465376.0,,Q4-2022
THE BOEING COMPANY,12927,2023-03-31,,,394262.0,,Q1-2023
THE BOEING COMPANY,12927,2023-06-30,,,1263306.0,,Q2-2023
THE BOEING COMPANY,12927,2023-09-30,,,1625360.0,,Q3-2023
