ENTITY,CIK,DATE,NETINCOMELOSS,REVENUES,OPERATINGINCOMELOSS,PROFITMARGINPERCENT,QUARTER
THE BOEING COMPANY,12927,2007-12-31,52962.0,863031.0,75790.0,6.14,Q4-2007
THE BOEING COMPANY,12927,2008-06-30,37895.0,648882.0,55809.0,5.84,Q2-2008
THE BOEING COMPANY,12927,2008-09-30,44889.0,825994.0,69420.0,5.43,Q3-2008
THE BOEING COMPANY,12927,2008-12-31,69472.0,1583634.0,102700.0,4.39,Q4-2008
THE BOEING COMPANY,12927,2009-03-31,15860.0,429052.0,26650.0,3.7,Q1-2009
THE BOEING COMPANY,12927,2009-06-30,80730.0,1544062.0,126035.0,5.23,Q2-2009
THE BOEING COMPANY,12927,2009-09-30,-59852.0,1959776.0,-73411.0,-3.05,Q3-2009
THE BOEING COMPANY,12927,2009-12-31,67652.0,2896140.0,103753.0,2.34,Q4-2009
THE BOEING COMPANY,12927,2010-03-31,26988.0,791232.0,61048.0,3.41,Q1-2010
THE BOEING COMPANY,12927,2010-06-30,74880.0,1610310.0,132470.0,4.65,Q2-2010
THE BOEING COMPANY,12927,2010-09-30,99242.0,2123940.0,172692.0,4.67,Q3-2010
THE BOEING COMPANY,12927,2010-12-31,159237.0,2938234.0,222547.0,5.42,Q4-2010
THE BOEING COMPANY,12927,2011-03-31,30472.0,775320.0,52000.0,3.93,Q1-2011
THE BOEING COMPANY,12927,2011-06-30,88634.0,1678014.0,145652.0,5.28,Q2-2011
THE BOEING COMPANY,12927,2011-09-30,125346.0,2200484.0,199550.0,5.7,Q3-2011
THE BOEING COMPANY,12927,2011-12-31,192920.0,3189095.0,269165.0,6.05,Q4-2011
THE BOEING COMPANY,12927,2012-03-31,47996.0,1007916.0,81510.0,4.76,Q1-2012
THE BOEING COMPANY,12927,2012-06-30,99424.0,2064348.0,161265.0,4.82,Q2-2012
THE BOEING COMPANY,12927,2012-09-30,129636.0,2584712.0,202722.0,5.02,Q3-2012
THE BOEING COMPANY,12927,2012-12-31,177528.0,3766074.0,287872.0,4.71,Q4-2012
THE BOEING COMPANY,12927,2013-03-31,57512.0,982436.0,79456.0,5.85,Q1-2013
THE BOEING COMPANY,12927,2013-06-30,113620.0,2192788.0,173576.0,5.18,Q2-2013
THE BOEING COMPANY,12927,2013-09-30,147368.0,2784548.0,224978.0,5.29,Q3-2013
THE BOEING COMPANY,12927,2013-12-31,210873.0,3996707.0,295308.0,5.28,Q4-2013
THE BOEING COMPANY,12927,2014-03-31,50180.0,1064180.0,80184.0,4.72,Q1-2014
THE BOEING COMPANY,12927,2014-06-30,154024.0,2251600.0,179478.0,6.84,Q2-2014
THE BOEING COMPANY,12927,2014-09-30,174304.0,2960412.0,251836.0,5.89,Q3-2014
THE BOEING COMPANY,12927,2014-12-31,250510.0,4175886.0,344097.0,6.0,Q4-2014
THE BOEING COMPANY,12927,2015-03-31,69472.0,1151748.0,104988.0,6.03,Q1-2015
THE BOEING COMPANY,12927,2015-06-30,121316.0,2490228.0,183768.0,4.87,Q2-2015
THE BOEING COMPANY,12927,2015-09-30,196508.0,3230214.0,297492.0,6.08,Q3-2015
THE BOEING COMPANY,12927,2015-12-31,228540.0,4361344.0,320463.0,5.24,Q4-2015
THE BOEING COMPANY,12927,2016-03-31,63388.0,1176864.0,92976.0,5.39,Q1-2016
THE BOEING COMPANY,12927,2016-06-30,13442.0,2519322.0,13806.0,0.53,Q2-2016
THE BOEING COMPANY,12927,2016-09-30,203372.0,3096106.0,213590.0,6.57,Q3-2016
THE BOEING COMPANY,12927,2016-12-31,235118.0,4279730.0,293293.0,5.49,Q4-2016
THE BOEING COMPANY,12927,2017-03-31,78780.0,1116362.0,109980.0,7.06,Q1-2017
